Australia,,Pacific Ocean
"Bismark Archipelago (New Ireland, New Britain, Bougainville, Admiralty Islands)",,Pacific Ocean
Chatham Islands,,Pacific Ocean
"Cook Islands (Rarotonga, Aitutaki, Penrhyn)",,Pacific Ocean
Easter Island,,Pacific Ocean
Fiji Islands,,Pacific Ocean
"French Polynesia (Tahiti,Tuamotu, Austral, Gambier)",,Pacific Ocean
Galapagos Islands,,Pacific Ocean
Guam,,Pacific Ocean
Hawaiian Islands,,Pacific Ocean
Juan Fernandez Islands (Robinson Crusoe Island),,Pacific Ocean
"Kiribati (Gilberts,Tarawa, Ocean Island)",,Pacific Ocean
"Line/Phoenix Islands (Palmyra, Fanning, Christmas, Canton, Enderbury, Howland)",,Pacific Ocean
Lord Howe Island,,Pacific Ocean
Marquesas Islands,,Pacific Ocean
"Marshall Islands, Republic of (Majuro, Kwajalein, Eniwetok)",,Pacific Ocean
"Micronesia, Fed.States of (Pohnpei, Kosrae, Chuuk,Yap,Caroline Islands)",,Pacific Ocean
Midway Island,,Pacific Ocean
Nauru,,Pacific Ocean
"New Caledonia & Deps. (Noumea, Loyalty Islands)",,Pacific Ocean
New Zealand,,Pacific Ocean
Niue,,Pacific Ocean
Norfolk Island,,Pacific Ocean
"Northern Marianas (Saipan, Tinian)",,Pacific Ocean
"Ogasawara (Bonin, Volcano Island, Iwo Jima)",,Pacific Ocean
"Palau, Republic of",,Pacific Ocean
Papua New Guinea,,Pacific Ocean
Pitcairn Island,,Pacific Ocean
Ryukyu Islands (Okinawa),,Pacific Ocean
"Samoa, American (Pago Pago)",,Pacific Ocean
Samoa (Apia),,Pacific Ocean
"Solomon Islands (Guadalcanal, New Georgia,Tulagi)",,Pacific Ocean
Tasmania,,Pacific Ocean
"Tokelau Islands (Fakaofu, Atafu, Union)",,Pacific Ocean
Tonga (Nukualofa),,Pacific Ocean
"Tuvalu (Ellice Island, Funafuti, Vaitapu)",,Pacific Ocean
Vanuatu (New Hebrides Islands),,Pacific Ocean
Wake Island,,Pacific Ocean
Wallis & Futuna Islands,,Pacific Ocean
Alaska,,North America
Canada,1,North America
Mexico,,North America
Prince Edward Island,,North America
St. Pierre & Miquelon,,North America
United States (continental),1,North America
Belize (British Honduras),,Central America
Costa Rica,,Central America
El Salvador,,Central America
Guatemala,,Central America
Honduras,,Central America
Nicaragua,,Central America
Panama,,Central America
Argentina,,South America
Bolivia,,South America
Brazil,,South America
Chile,,South America
Colombia,,South America
Ecuador,,South America
French Guiana,,South America
Guyana (British Guiana),,South America
Paraguay,,South America
Peru,,South America
Suriname (Netherlands Guiana),,South America
Uruguay,,South America
Venezuela,,South America
Anguilla,,Caribbean
"Antigua & Deps. (Barbuda, Redonda)",,Caribbean
Aruba,,Caribbean
Bahamas,,Caribbean
Barbados,,Caribbean
Bonaire,,Caribbean
Cayman Islands,,Caribbean
Cuba,,Caribbean
Curacao,,Caribbean
Dominica,,Caribbean
Dominican Republic,,Caribbean
"Grenada & Deps. (Carriacou, Grenadines)",,Caribbean
Guadeloupe & Deps.(Marie Galante),,Caribbean
Haiti,,Caribbean
Jamaica,,Caribbean
"Leeward Islands, French (St. Martin)",,Caribbean
"Leeward Islands, Netherlands (Saba, St. Eustatius)",,Caribbean
Martinique,,Caribbean
Montserrat,,Caribbean
Puerto Rico,,Caribbean
St. Barts,,Caribbean
San Andres & Providencia,,Caribbean
St. Kitts & Nevis,,Caribbean
St. Lucia,,Caribbean
St. Maarten (formerly Netherlands Antilles),,Caribbean
"St. Vincent & Deps. (Bequia, Canouan Grenadines)",,Caribbean
Trinidad & Tobago,,Caribbean
Turks & Caicos Islands,,Caribbean
"Virgin Islands, U.S. (St. Croix, St. John, St. Thomas)",,Caribbean
"Virgin Islands, British (Tortola, etc.)",,Caribbean
Ascension,,Atlantic Ocean
Azores Islands,,Atlantic Ocean
Bermuda,,Atlantic Ocean
Canary Islands,,Atlantic Ocean
Cape Verde Islands,,Atlantic Ocean
Falkland Islands,,Atlantic Ocean
Fernando do Noronha,,Atlantic Ocean
Faroe Islands,,Atlantic Ocean
Greenland (Kalaallit Nunaat),,Atlantic Ocean
Iceland,1,Atlantic Ocean
Madeira,,Atlantic Ocean
St. Helena,,Atlantic Ocean
Tristan de Cunha,,Atlantic Ocean
Aland Islands (Mariehamn),,Europe & Mediteranean
Albania,,Europe & Mediteranean
Andorra,,Europe & Mediteranean
Austria,1,Europe & Mediteranean
"Balearic Islands (Mallorca, Minorca)",1,Europe & Mediteranean
Belarus,,Europe & Mediteranean
Belgium,1,Europe & Mediteranean
Bosnia & Herzegovina (Sarajevo),,Europe & Mediteranean
Bulgaria,,Europe & Mediteranean
Corsica,,Europe & Mediteranean
Crete,,Europe & Mediteranean
Croatia,,Europe & Mediteranean
"Cyprus, Republic",,Europe & Mediteranean
"Cyprus, Turkish Fed. State",,Europe & Mediteranean
Czech Republic,1,Europe & Mediteranean
Denmark,1,Europe & Mediteranean
Dodecanese Is. (Rhodes),1,Europe & Mediteranean
England,1,Europe & Mediteranean
Estonia,1,Europe & Mediteranean
Finland,0.5,Europe & Mediteranean
France,1,Europe & Mediteranean
Germany,1,Europe & Mediteranean
Gibraltar,,Europe & Mediteranean
Greece,,Europe & Mediteranean
"Guernsey & Deps (Alderney, Herm, Sark, Channel Islands)",1,Europe & Mediteranean
Hungary,,Europe & Mediteranean
"Ionian Islands (Corfu, etc.)",,Europe & Mediteranean
Ireland (Eire),1,Europe & Mediteranean
"Ireland, Northern (Ulster)",1,Europe & Mediteranean
Isle of Man,1,Europe & Mediteranean
Italy,1,Europe & Mediteranean
Jersey (Channel Islands),1,Europe & Mediteranean
Kaliningrad,,Europe & Mediteranean
Kosovo,,Europe & Mediteranean
Lampedusa,,Europe & Mediteranean
Latvia,1,Europe & Mediteranean
Liechtenstein,0.5,Europe & Mediteranean
Lithuania,1,Europe & Mediteranean
Luxembourg,1,Europe & Mediteranean
Macedonia,,Europe & Mediteranean
Malta,,Europe & Mediteranean
Moldova,,Europe & Mediteranean
Monaco,,Europe & Mediteranean
Montenegro,,Europe & Mediteranean
Netherlands,1,Europe & Mediteranean
Norway,1,Europe & Mediteranean
Poland,,Europe & Mediteranean
Portugal,1,Europe & Mediteranean
Romania,,Europe & Mediteranean
Russia,,Europe & Mediteranean
San Marino,,Europe & Mediteranean
Sardinia,,Europe & Mediteranean
Scotland,1,Europe & Mediteranean
Serbia,,Europe & Mediteranean
Sicily,,Europe & Mediteranean
Slovakia,,Europe & Mediteranean
Slovenia,,Europe & Mediteranean
Spain,1,Europe & Mediteranean
"Spitsbergen (Svalbard, Bear Island)",,Europe & Mediteranean
Srpska,,Europe & Mediteranean
Sweden,1,Europe & Mediteranean
Switzerland,1,Europe & Mediteranean
Trans Dniester,,Europe & Mediteranean
Turkey in Europe (Istanbul),,Europe & Mediteranean
Ukraine,,Europe & Mediteranean
Vatican City,1,Europe & Mediteranean
Wales,1,Europe & Mediteranean
Argentine (Palmer Peninsula),,Antarctica
"Australian Antarctic Territory South Pole (Mawson, Davis, Macquarie, Heard)",,Antarctica
Chilean (Palmer Peninsula),,Antarctica
"Falkland Islands Dependencies (British Antarctica, Graham Land, So. Shetland, So. Sandwich, So. Georgia, So. Orkney)",,Antarctica
"French Southern & Antarctic Territory (Kerguelen, Crozet, Amsterdam, St. Paul)",,Antarctica
"Norwegian (Queen Maud Land, Bouvet)",,Antarctica
New Zealand (Ross Dependency),,Antarctica
Algeria,,Africa
Angola,,Africa
Benin (Dahomey),,Africa
Botswana (Bechuanaland),,Africa
Burkina Faso (Upper Volta),,Africa
Burundi (Urundi),,Africa
Cabinda,,Africa
Cameroon,,Africa
Central African Republic,,Africa
Chad,,Africa
Republic of Congo,,Africa
Democratic Republic of Congo,,Africa
Djibouti,,Africa
Egypt,,Africa
"Equatorial Guinea (Rio Muni, Fernando Poo)",,Africa
Eritrea,,Africa
Ethiopia,,Africa
Gabon,,Africa
Gambia,,Africa
"Ghana (Gold Coast, British Togoland)",,Africa
Guinea (French),,Africa
Guinea-Bissau,,Africa
Ivory Coast,,Africa
Kenya,,Africa
Lesotho (Basutoland),,Africa
Liberia,,Africa
Libya,,Africa
Malawi (Nyasaland),,Africa
Mali,,Africa
Mauritania,,Africa
Morocco,,Africa
"Morocco,Spanish (Ceuta, Melilla)",,Africa
Mozambique,,Africa
Namibia,,Africa
Niger,,Africa
Nigeria,,Africa
Rwanda,,Africa
Sao Tome & Principe,,Africa
Senegal,,Africa
Sierra Leone,,Africa
Somalia (Italian Somaliland),,Africa
Somaliland (Brit.),,Africa
South Africa,,Africa
"Sudan, North",,Africa
"Sudan, South",,Africa
Swaziland,,Africa
Tanzania (Tanganyika),,Africa
Togo,,Africa
Tunisia,,Africa
Uganda,,Africa
Western Sahara (Spanish Sahara),,Africa
Zambia (No. Rhodesia),,Africa
Zanzibar,,Africa
Zimbabwe (So. Rhodesia),,Africa
Abu Dhabi,,Middle East
Ajman,,Middle East
Bahrain,,Middle East
Dubai,,Middle East
Fujeirah,,Middle East
Iran,,Middle East
Iraq,,Middle East
Israel,,Middle East
Jordan,,Middle East
Kuwait,,Middle East
Lebanon,,Middle East
Oman,,Middle East
Palestine,,Middle East
Qatar,,Middle East
Ras Al Khaimah,,Middle East
Saudi Arabia,,Middle East
Sharjah,,Middle East
Syria,,Middle East
Umm Al Qaiwain,,Middle East
Yemen,,Middle East
Andaman-Nicobar Islands,,Indian Ocean
"British Indian Ocean Territory (Chagos Arch, Diego Garcia)",,Indian Ocean
Christmas Island,,Indian Ocean
Cocos Islands (Keeling),,Indian Ocean
"Comoro Islands (Anjouan, Moheli, Grand Comoro)",,Indian Ocean
Lakshadweep,,Indian Ocean
Madagascar,,Indian Ocean
Maldive Islands,,Indian Ocean
"Mauritius & Deps. (Agalega, St. Brandon)",,Indian Ocean
Mayotte (Dzaoudzi),,Indian Ocean
"Reunion & Deps. (Tromelin, Glorioso)",,Indian Ocean
Rodriguez Island,,Indian Ocean
Seychelles,,Indian Ocean
"Zil Elwannyen Sesel (Aldabra, Farquhar, Amirante Is.)",,Indian Ocean
Abkhazia,,Asia
Afghanistan,,Asia
Armenia (Yerevan),,Asia
Azerbaijan (Baku),,Asia
Bangladesh,,Asia
Bhutan,,Asia
Brunei,,Asia
Cambodia,,Asia
"China, Peopleâ€™s Republic",,Asia
Georgia,,Asia
Hainan Island,,Asia
Hong Kong,1,Asia
India,,Asia
Indonesia (Java),,Asia
Irian Jaya (Dutch New Guinea),,Asia
Japan,,Asia
Jeju Island (South Korea),,Asia
Kalimantan (Indonesian Borneo),,Asia
Kashmir,,Asia
Kazakhstan,,Asia
Kyrgyzstan,,Asia
"Korea, North",,Asia
"Korea, South",,Asia
Laos,,Asia
"Lesser Sunda Islands (Bali,Timor, Indonesia)",,Asia
Macau,,Asia
Malaysia,1,Asia
Moluka,,Asia
"Mongolia, Republic",,Asia
Myanmar (Burma),,Asia
Nakhichevan,,Asia
Nepal,,Asia
Pakistan,,Asia
Philippines,,Asia
Sabah (No. Borneo),,Asia
Sarawak,,Asia
Siberia (Russia in Asia),,Asia
Sikkim,,Asia
Singapore,1,Asia
Sri Lanka (Ceylon),,Asia
"Sulawesi (Celebes, Indonesia)",,Asia
Sumatra (Indonesia),,Asia
Taiwan. R.O.C.,,Asia
Tajikistan,,Asia
Thailand,,Asia
Tibet,,Asia
Timor Leste,,Asia
"Turkey in Asia (Anatolia, Ankara, Izmir)",1,Asia
Turkmenistan,,Asia
Uzbekistan,,Asia
Vietnam,0.5,Asia
